kind,id,name,canonical_movement,image_status,image_priority,batch_id,sheet_asset_reference,zip_relative_path,alt_text_draft,matt_approved,file_exists,bytes,approval_scope,hold_reason
fit,industrial-v3-fit-calf-raise-standard-beginner,Calf Raise — Standard Beginner,calf-raise,v3_cast_kit_draft,P0,FIT-01,calf-raise.webp,fit_v3/calf-raise/calf-raise__triptych.png,Draft: ordinary adult man demonstrating calf raise; include the equipment and complete body. Match the selected protocol before approval.,Approved,true,195841,Bulk visual approval; preview rollout only,
fit,industrial-v3-fit-calf-raise-standard-standard,Calf Raise — Standard Standard,calf-raise,v3_cast_kit_draft,P0,FIT-01,calf-raise.webp,fit_v3/calf-raise/calf-raise__triptych.png,Draft: ordinary adult man demonstrating calf raise; include the equipment and complete body. Match the selected protocol before approval.,Approved,true,195841,Bulk visual approval; preview rollout only,
fit,industrial-v3-fit-calf-raise-standard-advanced,Calf Raise — Standard Advanced,calf-raise,v3_cast_kit_draft,P0,FIT-01,calf-raise.webp,fit_v3/calf-raise/calf-raise__triptych.png,Draft: ordinary adult man demonstrating calf raise; include the equipment and complete body. Match the selected protocol before approval.,Approved,true,195841,Bulk visual approval; preview rollout only,
fit,industrial-v3-fit-calf-raise-tempo-beginner,Calf Raise — Slow Tempo Beginner,calf-raise,v3_cast_kit_draft,P0,FIT-01,calf-raise.webp,fit_v3/calf-raise/calf-raise__triptych.png,Draft: ordinary adult man demonstrating calf raise; include the equipment and complete body. Match the selected protocol before approval.,Approved,true,195841,Bulk visual approval; preview rollout only,
fit,industrial-v3-fit-calf-raise-tempo-standard,Calf Raise — Slow Tempo Standard,calf-raise,v3_cast_kit_draft,P0,FIT-01,calf-raise.webp,fit_v3/calf-raise/calf-raise__triptych.png,Draft: ordinary adult man demonstrating calf raise; include the equipment and complete body. Match the selected protocol before approval.,Approved,true,195841,Bulk visual approval; preview rollout only,
fit,industrial-v3-fit-calf-raise-tempo-advanced,Calf Raise — Slow Tempo Advanced,calf-raise,v3_cast_kit_draft,P0,FIT-01,calf-raise.webp,fit_v3/calf-raise/calf-raise__triptych.png,Draft: ordinary adult man demonstrating calf raise; include the equipment and complete body. Match the selected protocol before approval.,Approved,true,195841,Bulk visual approval; preview rollout only,
fit,industrial-v3-fit-calf-raise-pause-beginner,Calf Raise — Paused Beginner,calf-raise,v3_cast_kit_draft,P0,FIT-01,calf-raise.webp,fit_v3/calf-raise/calf-raise__triptych.png,Draft: ordinary adult man demonstrating calf raise; include the equipment and complete body. Match the selected protocol before approval.,Approved,true,195841,Bulk visual approval; preview rollout only,
fit,industrial-v3-fit-calf-raise-pause-standard,Calf Raise — Paused Standard,calf-raise,v3_cast_kit_draft,P0,FIT-01,calf-raise.webp,fit_v3/calf-raise/calf-raise__triptych.png,Draft: ordinary adult man demonstrating calf raise; include the equipment and complete body. Match the selected protocol before approval.,Approved,true,195841,Bulk visual approval; preview rollout only,
fit,industrial-v3-fit-calf-raise-pause-advanced,Calf Raise — Paused Advanced,calf-raise,v3_cast_kit_draft,P0,FIT-01,calf-raise.webp,fit_v3/calf-raise/calf-raise__triptych.png,Draft: ordinary adult man demonstrating calf raise; include the equipment and complete body. Match the selected protocol before approval.,Approved,true,195841,Bulk visual approval; preview rollout only,
fit,industrial-v3-fit-calf-raise-reduced-range-beginner,Calf Raise — Reduced Range Beginner,calf-raise,v3_cast_kit_draft,P0,FIT-01,calf-raise.webp,fit_v3/calf-raise/calf-raise__triptych.png,Draft: ordinary adult man demonstrating calf raise; include the equipment and complete body. Match the selected protocol before approval.,Approved,true,195841,Bulk visual approval; preview rollout only,
fit,industrial-v3-fit-calf-raise-reduced-range-standard,Calf Raise — Reduced Range Standard,calf-raise,v3_cast_kit_draft,P0,FIT-01,calf-raise.webp,fit_v3/calf-raise/calf-raise__triptych.png,Draft: ordinary adult man demonstrating calf raise; include the equipment and complete body. Match the selected protocol before approval.,Approved,true,195841,Bulk visual approval; preview rollout only,
fit,industrial-v3-fit-calf-raise-reduced-range-advanced,Calf Raise — Reduced Range Advanced,calf-raise,v3_cast_kit_draft,P0,FIT-01,calf-raise.webp,fit_v3/calf-raise/calf-raise__triptych.png,Draft: ordinary adult man demonstrating calf raise; include the equipment and complete body. Match the selected protocol before approval.,Approved,true,195841,Bulk visual approval; preview rollout only,
fit,industrial-v3-fit-calf-raise-supported-beginner,Calf Raise — Supported Beginner,calf-raise,v3_cast_kit_draft,P0,FIT-01,calf-raise.webp,fit_v3/calf-raise/calf-raise__triptych.png,Draft: ordinary adult man demonstrating calf raise; include the equipment and complete body. Match the selected protocol before approval.,Approved,true,195841,Bulk visual approval; preview rollout only,
fit,industrial-v3-fit-calf-raise-supported-standard,Calf Raise — Supported Standard,calf-raise,v3_cast_kit_draft,P0,FIT-01,calf-raise.webp,fit_v3/calf-raise/calf-raise__triptych.png,Draft: ordinary adult man demonstrating calf raise; include the equipment and complete body. Match the selected protocol before approval.,Approved,true,195841,Bulk visual approval; preview rollout only,
fit,industrial-v3-fit-calf-raise-supported-advanced,Calf Raise — Supported Advanced,calf-raise,v3_cast_kit_draft,P0,FIT-01,calf-raise.webp,fit_v3/calf-raise/calf-raise__triptych.png,Draft: ordinary adult man demonstrating calf raise; include the equipment and complete body. Match the selected protocol before approval.,Approved,true,195841,Bulk visual approval; preview rollout only,
fit,industrial-v3-fit-calf-raise-technique-beginner,Calf Raise — Technique Beginner,calf-raise,v3_cast_kit_draft,P0,FIT-01,calf-raise.webp,fit_v3/calf-raise/calf-raise__triptych.png,Draft: ordinary adult man demonstrating calf raise; include the equipment and complete body. Match the selected protocol before approval.,Approved,true,195841,Bulk visual approval; preview rollout only,
fit,industrial-v3-fit-calf-raise-technique-standard,Calf Raise — Technique Standard,calf-raise,v3_cast_kit_draft,P0,FIT-01,calf-raise.webp,fit_v3/calf-raise/calf-raise__triptych.png,Draft: ordinary adult man demonstrating calf raise; include the equipment and complete body. Match the selected protocol before approval.,Approved,true,195841,Bulk visual approval; preview rollout only,
fit,industrial-v3-fit-calf-raise-technique-advanced,Calf Raise — Technique Advanced,calf-raise,v3_cast_kit_draft,P0,FIT-01,calf-raise.webp,fit_v3/calf-raise/calf-raise__triptych.png,Draft: ordinary adult man demonstrating calf raise; include the equipment and complete body. Match the selected protocol before approval.,Approved,true,195841,Bulk visual approval; preview rollout only,
fit,industrial-v3-fit-calf-raise-density-beginner,Calf Raise — Density Beginner,calf-raise,v3_cast_kit_draft,P0,FIT-01,calf-raise.webp,fit_v3/calf-raise/calf-raise__triptych.png,Draft: ordinary adult man demonstrating calf raise; include the equipment and complete body. Match the selected protocol before approval.,Approved,true,195841,Bulk visual approval; preview rollout only,
fit,industrial-v3-fit-calf-raise-density-standard,Calf Raise — Density Standard,calf-raise,v3_cast_kit_draft,P0,FIT-01,calf-raise.webp,fit_v3/calf-raise/calf-raise__triptych.png,Draft: ordinary adult man demonstrating calf raise; include the equipment and complete body. Match the selected protocol before approval.,Approved,true,195841,Bulk visual approval; preview rollout only,
fit,industrial-v3-fit-calf-raise-density-advanced,Calf Raise — Density Advanced,calf-raise,v3_cast_kit_draft,P0,FIT-01,calf-raise.webp,fit_v3/calf-raise/calf-raise__triptych.png,Draft: ordinary adult man demonstrating calf raise; include the equipment and complete body. Match the selected protocol before approval.,Approved,true,195841,Bulk visual approval; preview rollout only,
fit,industrial-v3-fit-calf-raise-isometric-beginner,Calf Raise — Isometric Emphasis Beginner,calf-raise,v3_cast_kit_draft,P0,FIT-01,calf-raise.webp,fit_v3/calf-raise/calf-raise__triptych.png,Draft: ordinary adult man demonstrating calf raise; include the equipment and complete body. Match the selected protocol before approval.,Approved,true,195841,Bulk visual approval; preview rollout only,
